Ind	Sp	Gen	Line	CorollaWidth	CorollaThroat	CorollaLength	OverallCorollaLength	SepalLength	LongestStamenLength	PistilLength	SeedMass	SeedLength	SeedWidth	NectarVolume	SugarConcentration	NectarySize	TotalSugAmt
1301	CL5	F5	256	25.13	7.208333333	23.655	28.47166667	13.165	16.885	16.64333333	0.0345	4.895	4.435	2.1221875	357.8322439	0.156398454	749.9298361
936	CL5	F5	257	23.26333333	5.936666667	21.425	26.37166667	11.25	16.77833334	13.34166667	0.033	4.635	4.36	1.457708334	292.8712593	0.069913931	432.6030772
141	CL5	F5	258	19.405	5.918333333	18.39833334	22.25666667	10.37166667	13.95333333	11.67833334	0.025	4.245	3.66	1.031979167	281.9449558	0.0807544	297.4331019
192	CL5	F5	260	24.00333333	6.406666667	24.78	29.19166667	11.72666667	17.34166667	16.29833334	0.036	4.67	4.205	1.700833334	288.5165542	0.083271029	494.7330176
632	CL5	F5	262	22.06333334	6.546666667	22.4	26.72833334	11.08666667	16.08666667	14.66833334	0.0285	4.845	4.08	1.4515625	302.943653	0.109280511	441.4478883
118	CL5	F5	264	20.865	5.936666667	20.97666667	24.78666667	10.17333333	15.80833334	15.085	0.028	4.415	3.95	1.382604167	249.6725779	0.071960312	360.8707392
1133	CL5	F5	269	21.42166667	6.176666667	20.73833334	24.53666667	11.20666667	14.81	13.83166667	0.029	4.495	4.04	1.261145834	244.4432117	0.051943167	310.0586897
1015	CL5	F5	27	22.29666667	6.458333334	21.72333334	26.215	12.39166667	15.92833334	13.99166667	0.029	4.435	4.095	2.059583334	326.7139842	0.104026579	676.2152768
1261	CL5	F5	270	22.03	6.396666667	22.98	26.80666667	10.55833333	16.18166667	13.595	0.0305	4.49	3.97	1.0534375	281.5839006	0.068054853	298.2335404
217	CL5	F5	271	18.49333334	6.42	19.08333333	21.84666667	9.323333334	14.23833334	11.35666667	0.0295	4.73	4.135	1.432708334	317.941286	0.0898095	457.4831839
205	CL5	F5	272	20.80833334	6.393333333	22.53333333	25.69666667	10.25333334	15.23833333	14.55666667	0.035	4.865	4.285	0.985729167	330.390137	0.077232928	341.9067886
1238	CL5	F5	273	20.73166667	7.23	23.365	26.75166667	12.125	16.44833334	13.64333334	0.0365	4.77	4.46	2.13	342.9799677	0.116634096	732.1444853
1295	CL5	F5	274	21.26833333	7.153333333	23.44166667	27.25333334	11.99333334	16.785	12.99333333	0.0295	4.335	4.32	1.9225	350.0026007	0.116697058	682.1161298
666	CL5	F5	275	22.36833334	6.101666667	19.525	24.74333334	11.13833333	14.36833334	12.85666667	0.027	4.2	3.82	1.542708334	264.861245	0.085491815	412.442572
541	CL5	F5	276	22.55	6.681666667	21.34333333	25.475	11.71666667	15.725	13.51	0.028	4.155	3.905	1.331145834	269.2362974	0.076915813	366.4728502
295	CL5	F5	277	23.95166667	7.258333333	22.90833334	27.71333333	11.015	16.14666667	13.67166667	0.026	4.445	4.06	1.791458334	349.1138201	0.14165709	651.8490971
1170	CL5	F5	278	20.61666667	6.273333333	22.85	26.015	10.23166667	15.29	12.62333334	0.0235	3.945	3.75	1.861875	307.4890351	0.078258268	557.8062601
168	CL5	F5	279	20.41166667	5.963333333	22.205	25.80833333	11.20833334	16.00833334	12.14166667	0.0295	4.685	4.18	0.81375	269.4624791	0.069912382	232.739693
156	CL5	F5	281	20.60666667	6.548333333	20.645	24.39833334	10.94333333	14.59833334	14.57666667	0.0295	4.79	4.155	0.919270833	261.2877204	0.055424789	238.320213
1042	CL5	F5	282	23.045	6.805	22.26666667	26.60666667	10.94333333	14.67166667	13.31666667	0.026	4.455	3.93	1.266770834	288.0197374	0.078942921	363.645999
17	CL5	F5	283	21.33666667	6.078333334	22.57333334	26.64166667	10.595	14.32833334	13.72333333	0.025	4.285	4.02	1.464166667	315.6514165	0.095920047	470.4692349
470	CL5	F5	284	21.345	6.46	23.13333334	26.87	11.12166667	15.78333334	14.26666667	0.0345	4.805	4.28	1.187291667	352.0720928	0.116392161	404.4291128
1262	CL5	F5	285	21.42833334	6.406666667	24.11666667	27.7	12.425	16.12166667	15.47666667	0.025	4.495	4.04	1.007291667	271.5998327	0.068078025	312.2498241
1079	CL5	F5	286	20.66833334	6.21	22.87	26.40166667	11.01333334	16.56833333	14.58833333	0.03	4.405	4.29	0.856666667	326.5912897	0.083900919	277.7314506
106	CL5	F5	287	21.175	6.603333333	22.15333334	26.245	11.14666667	16.34666667	13.73333333	0.0285	4.57	4.02	2.442395833	303.4988512	0.115246311	745.6835603
135	CL5	F5	288	22.52666667	6.165	21.805	26.03666667	12.19166667	15.155	15.71666667	0.026	4.65	3.955	2.230520834	329.9876525	0.108850335	743.0905809
605	CL5	F5	289s	24.37333334	7.221666667	25.44333334	30.23833334	11.80666667	17.66	15.12666667	0.0325	4.43	3.98	2.755833334	358.3227612	0.137032618	996.3637681
643	CL5	F5	29	21.385	6.473333334	21.37833334	25.12666667	10.90833334	16.215	13.19666667	0.029	4.305	4.255	1.037083334	320.8014621	0.129816631	343.1585509
1234	CL5	F5	290	20.06833334	5.636666667	19.88	23.925	10.685	14.87333333	11.51166667	0.036	4.75	3.97	1.701354167	295.1821953	0.133508189	517.5016865
1117	CL5	F5	291	24.28666667	6.9	22.11333333	27.18	11.29666667	17.05333333	15.44333333	0.029	4.17	3.87	2.010208333	355.8123477	0.139498433	709.093413
44	CL5	F5	292	23.64166667	6.83	25.95666667	30.38	11.50666667	17.58166667	15.00166667	0.034	4.615	4.045	1.861770834	360.1313885	0.116622413	673.9436444
336	CL5	F5	293	22.79333334	6.68	23.11	27.50166667	12.01666667	16.70166667	15.98666667	0.0235	4.64	3.915	1.848958334	311.3355553	0.10237298	578.3493822
386	CL5	F5	294	23.35	6.558333333	24.05166667	27.95333333	10.79333334	16.78166667	13.76166667	0.03	4.21	3.94	1.506666667	321.0732517	0.102796924	491.2988604
5	CL5	F5	295	22.285	7.203333333	23.35166667	27.59166667	10.56	16.21833334	13.88666667	0.0295	4.52	4.325	1.826354167	315.4488578	0.118617823	580.1827018
1209	CL5	F5	297	17.81	5.415	21.04	24.045	9.746666667	14.16833334	13.28666667	0.024	4.06	3.755	1.119375	309.3603738	0.044070554	347.0246276
434	CL5	F5	299	20.89333334	6.136666667	21.77	25.31	11.20333334	14.41666667	12.635	0.03	4.16	4.215	1.082395834	254.30895	0.082338882	282.5659985
1229	CL5	F5	30	22.4625	6.89	24.5775	28.53333334	10.78083334	17.02333334	15.12	0.026	4.215	4.03	2.387395834	311.5389333	0.106410721	760.2033259
455	CL5	F5	300	20.095	6.106666667	20.725	24.80666667	10.73666667	14.57666667	11.96333333	0.0275	4.54	3.82	1.51375	287.5509126	0.092740376	442.9082519
486	CL5	F5	301	23.01833334	6.653333334	23.58666667	27.41	11.55166667	15.44333334	13.27166667	0.0255	4.305	3.67	1.181979167	324.8916363	0.133552812	388.665352
1336	CL5	F5	302b	19.29833334	6.251666667	20.98	24.58	9.929999999	14.29333333	10.84166667	0.028	3.92	3.48	1.4165625	315.8331595	0.063364147	447.1625949
445	CL5	F5	303	21.96833333	6.545	20.89833334	25.45	11.49833334	14.865	13.47666667	0.029	4.59	3.9	1.275	283.1328766	0.114444594	398.101094
1387	CL5	F5	305b	18.93833334	6.181666667	20.295	23.54	10.02333334	13.32	11.66333334	0.026	4.245	4.07	1.607916667	323.650391	0.102052877	527.4109053
1307	CL5	F5	306	22.215	6.796666667	22.78833334	26.10666667	10.69833334	15.91666667	11.71333334	0.0325	4.515	4.14	1.519166667	291.2226726	0.075762499	456.5630066
1299	CL5	F5	327	22.29	6.403333334	23.04333334	27.51833334	11.51833333	16.46166667	16.79	0.026	4.21	3.9	2.034791667	301.7144608	0.095619428	644.2888044
1198	CL5	F5	328	20.51	6.368333334	22.95333333	26.60666667	10.855	16.26833333	12.48166667	0.025	4.235	3.97	1.516458334	238.2392953	0.090724405	362.9723615
1368	CL5	F5	329	21.22333333	6.735	23.04	26.79666667	10.98666667	16.27666667	15.27333333	0.021	4.445	3.77	1.738229167	329.4846634	0.09472346	595.5869803
