Ind	Sp	Gen	Line	CorollaWidth	CorollaThroat	CorollaLength	OverallCorollaLength	SepalLength	LongestStamenLength	PistilLength	SeedMass	SeedLength	SeedWidth	NectarVolume	SugarConcentration	NectarySize
1222	CL5	F5	91	23.07666667	6.943333333	23.32333333	28.17	11.47333333	16.54	15.64	0.029	4.53	4.04	0.711875	246.7464908	0.070759134
1325	CL5	F5	91	26.43	7.293333333	25.10666667	30.28	12.49	18.88333333	18.31	0.028	4.74	4.21	2.367083333	345.4641747	0.089695471
1056	CL5	F5	92	21.04333333	7.416666667	22.92	25.86666667	12.17666667	16.61666667	14.66333333	0.039	4.59	4.03	2.440833333	374.984114	0.117754033
686	CL5	F5	92	22.6	6.75	22.73333333	26.32666667	12.73333333	15.93333333	14.08666667	0.033	4.79	3.99	1.512916667	323.8860223	0.10477585
1213	CL5	F5	94	21.79333333	6.11	21.96	26.31	12.26	14.47	12.50333333	0.037	4.58	4	1.33875	306.3189652	0.09796262
1221	CL5	F5	94	21.34333333	6.476666667	22.13666667	26.87666667	12.08333333	15.35333333	12.48	0.032	4.47	4.3	0.52	272.5145055	0.052809985
1147	CL5	F5	95	21.99333333	6.65	24.62	27.36666667	11.78333333	16.17	17.00333333	0.025	4.64	3.88	3.0775	359.3842054	0.137556207
797	CL5	F5	95	25.925	6.61	23.12	28.645	11.985	14.995	16.175	0.032	4.8	4.67	2.8409375	314.8871979	0.136387711
60	CL5	F5	99	22.07666667	7.093333333	23.55666667	27.32666667	9.993333333	17.30666667	14.62333333	0.025	4.02	3.96	2.083958333	367.6676641	0.10387508
647	CL5	F5	99	20.9	6.456666667	23.75333333	26.95333333	10.29	15.1	13.69666667	0.027	4.22	3.97	1.449166667	315.1386372	0.101367534
1389	CL5	F5	104	25.49333333	7.92	25.15666667	29.98666667	13.27	16.36	15.23333333	0.032	4.71	3.9	2.046875	342.2351515	0.08925649
649	CL5	F5	104	24.27	8.34	24.98333333	28.63333333	12.3	16.79	14.57333333	0.036	5.14	4.25	1.464166667	294.5375284	0.091356233
1057	CL5	F5	105	24.64333333	6.99	24.15333333	29.7	12.17	16.07	15.75	0.03	4.64	3.97	1.14	327.2298751	0.081090987
495	CL5	F5	105	24.36	7.516666667	24.76333333	28.84	10.67333333	16.34	15.03	0.029	4.62	4.12	1.161041667	321.4390084	0.090450775
269	CL5	F5	106	16.53666667	5.196666667	19.41666667	22.61	8.926666667	12.52	10.88333333	0.025	4.06	3.9	0.349166667	241.6934319	0.078515623
54	CL5	F5	108	21.35333333	6.46	24.46666667	28.21	10.86666667	16.98	14.46333333	0.027	4.17	4.05	1.354375	283.0814958	0.070676431
907	CL5	F5	108	21.43333333	5.97	22.91666667	26.67333333	10.74	15.81333333	13.91333333	0.03	4.37	4.15	1.152708333	284.5664911	0.060152928
1151	CL5	F5	109	19.67666667	6.86	22.70333333	25.54666667	9.81	15.97	13.5	0.034	4.81	4.17	1.435833333	308.1189035	0.06727165
1164	CL5	F5	109	23.66	6.836666667	23.02333333	27.09666667	11.35666667	16.21666667	14.25666667	0.033	4.57	4.2	1.231458333	273.0100536	0.111740501
1335	CL5	F5	112	24.73333333	7.003333333	25.92	30.95666667	11.51333333	17.25666667	15.03333333	0.027	4.17	3.53	1.594375	307.0248847	0.072326334
82	CL5	F5	112	21.64666667	6.71	25.01	27.88	10.26	16.18	14.15333333	0.031	4.31	3.85	1.763333333	316.3739496	0.102880361
1333	CL5	F5	115	18.99666667	6.266666667	19.59333333	23.11666667	9.706666667	14.17666667	10.62	0.033	4.64	3.99	1.83125	264.1730851	0.086902841
885	CL5	F5	115	18.15	6.266666667	20.07666667	22.46333333	9.04	14.26666667	13.54	0.035	4.48	4.17	0.344375	278.2437893	0.04342189
1182	CL5	F5	118	18.13	6.17	19.86333333	23.66666667	10.63333333	15.05333333	13.58666667	0.034	4.61	4.08	1.1075	262.5491891	0.079222814
702	CL5	F5	118	19.09333333	5.766666667	21.32666667	24.29333333	10.93	16.07333333	13.98666667	0.032	4.65	4.01	0.666041667	300.0301563	0.053614338
1290	CL5	F5	120	20.59666667	6.896666667	21.03666667	24.97	12.31666667	14.86666667	12.66666667	0.038	5.04	4.3	1.340833333	269.5460616	0.123994965
688	CL5	F5	120	19.03666667	6.426666667	22.04333333	24.69666667	11.38333333	15.68	13.85666667	0.036	4.8	3.91	1.117916667	289.7713496	0.116232215
1093	CL5	F5	121	18.91666667	6.03	20.14666667	22.52	10.81333333	13.80333333	11.41333333	0.024	3.92	3.59	0.96375	296.3739303	0.045174747
297	CL5	F5	121	19.81666667	6.106666667	20.76	24.51	11.42666667	14.41666667	11.62	0.026	3.84	3.11	0.7475	264.3217132	0.052639444
1094	CL5	F5	122	23.11333333	6.546666667	24.03666667	28.88333333	11.57333333	17.12666667	14.65666667	0.027	4.29	3.84	1.395208333	268.1031603	0.099380097
1252	CL5	F5	122	21.60333333	6.78	22.06	26.22333333	11.06	15.50333333	12.63333333	0.028	4.27	4.07	0.468333333	225.8778245	0.072338152
236	CL5	F5	124	16.42666667	5.85	20.54666667	23.72	9.726666667	13.81	13.83666667	0.028	4.37	4.53	0.934375	336.1385372	0.093102626
599	CL5	F5	124	20.47333333	6.81	24.78333333	28.10333333	11.03	16.40666667	15.75666667	0.029	4.35	4.25	1.888125	298.6647057	0.093785713
1180	CL5	F5	125	19.35	6.07	19.82	23.43666667	11.41666667	15.13	13.42333333	0.025	4.12	3.95	1.063958333	274.4440992	0.070585137
844	CL5	F5	125	21.49666667	6.036666667	21.87	26.09	11.40333333	16.07333333	14.70333333	0.029	4.17	4.12	0.820833333	249.216905	0.059036112
369	CL5	F5	126	19.69	5.736666667	20.06666667	23.76	9.98	15.12	13.89666667	0.032	4.68	4.03	1.28875	333.5581763	0.069369229
625	CL5	F5	126	24.49666667	6.436666667	23.01333333	28.64666667	11.09	16.61	15.01	0.032	4.5	4.11	1.201666667	283.535425	0.11134167
1123	CL5	F5	128	22.76666667	7.546666667	26.22333333	29.14666667	11.63	17.16333333	16.94333333	0.027	4.29	4.31	1.994166667	296.0729663	0.125730611
559	CL5	F5	128	26.38333333	7.21	26.69666667	31.42666667	11.19333333	17.03333333	15.80333333	0.032	4.43	4.23	1.865833333	318.0956497	0.120712277
598	CL5	F5	130	27.54666667	7.423333333	22.09333333	28.18666667	11.95	15.30666667	13.50333333	0.034	4.45	4.54	1.537291667	303.8093059	0.207790478
966	CL5	F5	130	25.34	7.263333333	21.99333333	26.48	12.40666667	16.48	12.78333333	0.035	4.11	4.27	1.734166667	306.8118206	0.144621821
1011	CL5	F5	132	22.35	6.396666667	25.05333333	29.51666667	10.55333333	16.73333333	13.37333333	0.028	4.03	3.6	1.02125	289.9004919	0.082015089
103	CL5	F5	132	23.52666667	6.186666667	24.87	30.39	11.18333333	18.05	13.8	0.031	4.54	3.95	1.445416667	274.6411997	0.070617331
1306	CL5	F5	133	22.75333333	7.096666667	22.36	26.61333333	11.64	16.57	14.84333333	0.025	4.5	3.99	1.881041667	328.4282081	0.091903837
656	CL5	F5	133	21.42	7.033333333	22.77333333	25.94333333	10.50333333	16.6	14.03	0.025	4.41	3.93	0.585625	269.6732362	0.057639894
1028	CL5	F5	134	21.68	5.466666667	21.88666667	26.29333333	11.49666667	16.54333333	15.01	0.028	4.42	3.99	1.650625	349.1416489	0.119667079
653	CL5	F5	134	21.17666667	6.276666667	22.62	26.89666667	10.94333333	16.08666667	14.56666667	0.026	4.34	4.02	1.762291667	302.3916466	0.133036143
830	CL5	F5	135	22.69333333	6.87	22.66	27.18666667	12.56666667	14.51	12.50333333	0.033	4.74	4.01	0.979166667	305.5712228	0.099728693
968	CL5	F5	135	21.52333333	7.373333333	21.23	26.65333333	11.35333333	14.55666667	12.71666667	0.037	4.76	4.16	2.614791667	288.3227896	0.095382298
546	CL5	F5	136	23.00333333	6.203333333	20.87666667	25.81	11.21	13.40666667	11.96666667	0.029	4.76	3.88	1.621041667	269.3255322	0.095101219
626	CL5	F5	136	21.96333333	5.976666667	22.44666667	26.11333333	10.82	15.71333333	13.36333333	0.024	4.36	3.89	0.766666667	245.5366807	0.067613204
26	CL5	F5	137	20.85666667	6.026666667	21.76666667	25.61	11.01666667	15.53	13.08333333	0.029	3.96	3.69	1.231666667	266.2274656	0.085197193
992	CL5	F5	137	18.88666667	5.873333333	21.67666667	24.25666667	10.59666667	14.45333333	11.37666667	0.033	4.42	3.74	1.505416667	260.3769582	0.087633125
104	CL5	F5	138	21.47333333	6.206666667	22.21666667	26.07333333	9.763333333	14.09666667	12.96	0.03	4.17	4.22	1.137083333	261.9370026	0.06593406
191	CL5	F5	138	21.76	6.806666667	23.30666667	27.08666667	10.51333333	15.85666667	14.45	0.027	3.9	3.98	1.639583333	285.1620785	0.084569112
32	CL5	F5	139	21.14	6.776666667	24.16666667	27.26	10.63	17.03666667	13.43666667	0.027	4.12	3.83	1.552083333	295.4536551	0.077239323
740	CL5	F5	139	19.52	6.106666667	20.32	24.23333333	9.696666667	14.85333333	13.45333333	0.023	3.81	3.55	0.970625	302.346122	0.123548894
1311	CL5	F5	141	23.65	6.43	24.73	28.71333333	11.58333333	16.77333333	16.48666667	0.033	4.36	4.08	2.241875	299.397785	0.137715182
815	CL5	F5	141	21.87666667	6.393333333	22.49	25.61	10.35333333	15.10333333	14.80333333	0.032	4.4	3.89	0.932916667	352.5239471	0.098528173
346	CL5	F5	142	22.18333333	7.213333333	22.55	26.3	10.74333333	16.44	14.84	0.034	4.7	4.11	1.469791667	332.1538996	0.095236957
120	CL5	F5	143	26.78333333	6.676666667	24.98	30.41666667	11.72	17.43	16.01333333	0.03	4.37	4.04	1.735833333	278.2790151	0.095761157
552	CL5	F5	143	26.10333333	6.75	24.70666667	29.83666667	11.03333333	16.74	14.22	0.031	4.52	4.05	2.103333333	327.1470126	0.082526734
1102	CL5	F5	144	18.17333333	5.523333333	20.97	24.23333333	9.966666667	15.88666667	14.84666667	0.029	4.47	3.73	1.252708333	277.09779	0.051941212
928	CL5	F5	144	19.25	5.313333333	22.21333333	26.02666667	10.55333333	16.42666667	14.57666667	0.028	4.38	3.92	0.688958333	256.6939048	0.066671928
298	CL5	F5	145	24.89666667	7.7	25.46666667	29.7	12.21333333	17.48	15.90333333	0.03	4.9	3.96	1.039791667	341.3576864	0.140287623
