Sp	Line	Ind	NectarVolume	SugarConcentation	TotalSugAmt	NectarySize
CL5	125	844	0.820833333	249.216905	206.5379055	0.059036112
CL5	126	369	1.28875	333.5581763	415.8134244	0.069369229
CL5	126	625	1.201666667	283.535425	341.6317224	0.11134167
CL5	128	1123	1.994166667	296.0729663	580.1117287	0.125730611
CL5	128	559	1.865833333	318.0956497	592.2870333	0.120712277
CL5	130	598	1.537291667	303.8093059	499.0723906	0.207790478
CL5	130	966	1.734166667	306.8118206	563.1461643	0.144621821
CL5	132	1011	1.02125	289.9004919	288.9223504	0.082015089
CL5	132	103	1.445416667	274.6411997	413.4425325	0.070617331
CL5	133	1306	1.881041667	328.4282081	621.9510871	0.091903837
CL5	133	656	0.585625	269.6732362	160.9465519	0.057639894
CL5	134	1028	1.650625	349.1416489	570.8054516	0.119667079
CL5	134	653	1.762291667	302.3916466	533.5731597	0.133036143
CL5	135	830	0.979166667	305.5712228	302.264924	0.099728693
CL5	135	968	2.614791667	288.3227896	746.0238418	0.095382298
CL5	136	546	1.621041667	269.3255322	442.8070072	0.095101219
CL5	136	626	0.766666667	245.5366807	192.1393044	0.067613204
CL5	137	26	1.231666667	266.2274656	315.5205369	0.085197193
CL5	137	992	1.505416667	260.3769582	391.7695584	0.087633125
CL5	138	104	1.137083333	261.9370026	309.919858	0.06593406
CL5	138	191	1.639583333	285.1620785	519.2860341	0.084569112
CL5	139	32	1.552083333	295.4536551	460.527175	0.077239323
CL5	139	740	0.970625	302.346122	294.9740997	0.123548894
CL5	141	1311	2.241875	299.397785	676.9726275	0.137715182
CL5	141	815	0.932916667	352.5239471	314.060579	0.098528173
CL5	142	346	1.469791667	332.1538996	485.5468264	0.095236957
CL5	143	120	1.735833333	278.2790151	518.2242615	0.095761157
CL5	143	552	2.103333333	327.1470126	689.8725884	0.082526734
CL5	144	1102	1.252708333	277.09779	366.0757595	0.051941212
CL5	144	928	0.688958333	256.6939048	183.436332	0.066671928
CL5	145	298	1.039791667	341.3576864	355.4627397	0.140287623
CL5	145	313	1.779375	362.8292016	639.9778189	0.120070328
CL5	146	1241	2.307291667	344.0071303	799.385432	0.103860509
