Family	Ind	Accession	Sp	F2G	Rep	Seed Mass	Seed Length	Seed Width	Seed L/W Ratio
R17	1297	CL5	F5	439	D	0.023	3.98	3.75	1.061
R17	1298	CL5	F5	358	C	0.036	4.8	4.55	1.055
R17	1299	CL5	F5	327	B	0.028	4.28	3.92	1.092
R17	1300	CL5	F5	025s	B	0.024	4.02	3.53	1.139
R17	1301	CL5	F5	256	C	0.035	4.8	4.62	1.039
R17	1302	CL5	F5	500	A	0.031	4.39	4.64	0.946
R17	1303	CL5	F5	218	A	0.029	4.36	4.32	1.009
R17	1304	CL5	F5	351	C	0.028	4.7	3.92	1.199
R17	1305	CL5	F5	233	C	0.024	4.5	4.04	1.114
R17	1306	CL5	F5	133	C	0.025	4.5	3.99	1.128
R17	1307	CL5	F5	306	A	0.033	4.44	4.15	1.07
R17	1308	L	LS	S1	34	0.029	4.24	4.17	1.017
R17	1309	CL5	F5	338b	B	0.021	4.22	3.43	1.23
R17	1310	CL5	F5	260	C	0.035	4.68	4.42	1.059
R17	1311	CL5	F5	141	C	0.033	4.36	4.08	1.069
R17	1312	CL5	F5	180	D	0.039	5.33	3.96	1.346
R17	1313	C	LS	S1	38	0.022	4.15	3.67	1.131
R17	1314	CL5	F5	76	A	0.032	4.93	4.24	1.163
R17	1315	CL5	F5	72	A	0.034	4.54	4.31	1.053
R17	1316	CL5	F5	161	C	0.037	4.68	4.05	1.156
R17	1317	CL5	F5	301	C	0.023	4.05	3.76	1.077
R17	1318	C	LS	S1	40	0.02	4.09	3.62	1.13
R17	1319	CL5	F5	36	D	0.034	4.71	4.5	1.047
R17	1320	CL5	F5	393	B	0.024	4.39	3.89	1.129
R17	1321	CL5	F5	390b	A	0.012	3.3	2.91	1.134
R17	1322	CL5	F5	63	C	0.029	4.62	3.88	1.191
R17	1323	CL5	F5	412	A	0.022	4.3	3.76	1.144
R17	1324	CL5	F5	432	A	0.024	4.24	3.69	1.149
R17	1325	CL5	F5	91	D	0.028	4.74	4.21	1.126
R17	1326	CL5	F5	418	C	0.026	4.16	3.85	1.081
R17	1327	CL5	F5	465s	C	0.031	4.5	4.07	1.106
R17	1328	CL5	F5	438	C	0.021	4.74	4.21	1.126
