Ind	Sp	Line
215	CL5	392
216	CL5	234
217	CL5	271
218	CL5	386s
219	CL5	290
220	C	CS
221	CL5	391
222	CL5	353
223	CL5	490b
224	CL5	115
225	CL5	143
226	CL5	362s
227	CL5	493s
228	CL5	294
229	CL5	271
230	CL5	391
231	CL5	12
232	CL5	189d
233	CL5	71
234	CL5	426b
235	L	LS
236	CL5	124
237	CL5	452
238	CL5	286
239	CL5	385
240	CL5	19
241	C	CS
242	L	LS
243	C	CS
244	CL5	109
245	CL5	503
246	CL5	198
247	CL5	327
248	CL5	344
249	CL5	442
250	CL5	443w
251	CL5	120
252	CL5	502
253	CL5	255
254	CL5	450
255	CL5	368
256	CL5	285
257	CL5	371
258	CL5	143
259	L	LS
260	CL5	077b
261	CL5	375
262	C	CS
263	CL5	42
264	CL5	371
265	CL5	453s
266	CL5	176
267	CL5	457
268	CL5	473s
269	CL5	106
270	CL5	496s
271	CL5	362s
272	CL5	369s
273	C	CS
274	CL5	258
275	CL5	178s
276	CL5	291
277	CL5	330
278	CL5	226
279	CL5	496s
280	CL5	1
281	CL5	406s
282	CL5	99
283	CL5	440s
284	CL5	146
285	CL5	138
286	CL5	130
287	CL5	365
288	CL5	379
289	CL5	417
290	CL5	285
291	CL5	297
292	CL5	288
293	CL5	379
294	CL5	218
295	CL5	277
296	CL5	284
297	CL5	121
298	CL5	145
299	CL5	195
300	L	LS
301	CL5	437
302	CL5	117s
303	CL5	125
304	CL5	183
305	CL5	392
306	L	LS
307	CL5	214
308	CL5	217
309	CL5	71
310	CL5	237
311	L	LS
312	CL5	413
313	CL5	145
314	CL5	8
315	CL5	505s
316	CL5	203
317	CL5	077b
318	CL5	217
319	CL5	107s
320	CL5	21
321	CL5	375
322	CL5	386s
323	CL5	209
324	CL5	178s
325	CL5	122
326	CL5	44
327	CL5	503
328	CL5	250
329	CL5	112
330	CL5	421
331	CL5	480s
332	CL5	74
333	CL5	158
334	CL5	423
335	C	CS
336	CL5	293
337	CL5	83
338	CL5	45
339	CL5	282
340	CL5	157
341	CL5	86
342	CL5	13
343	CL5	460s
344	CL5	479s
345	CL5	383
346	CL5	142
347	CL5	9
348	CL5	176
349	CL5	192
350	CL5	379
351	CL5	141
352	CL5	341s
353	L	LS
354	CL5	337
355	CL5	59
356	CL5	200
357	CL5	38
358	CL5	456
359	CL5	165
360	CL5	277
361	CL5	157
362	CL5	74
363	CL5	142
364	CL5	213s
365	CL5	112
366	CL5	44
367	CL5	025s
368	CL5	231
369	CL5	126
370	CL5	375
371	CL5	387b
372	CL5	76
373	CL5	503
374	CL5	014s
375	CL5	183
376	CL5	335
377	CL5	182
378	CL5	49
379	CL5	226
380	CL5	457
381	CL5	95
382	CL5	228s
383	CL5	444
384	CL5	147
385	CL5	413
386	CL5	294
387	CL5	7
388	CL5	351
389	CL5	7
390	CL5	277
391	C	CS
392	CL5	355
393	CL5	45
394	CL5	211
395	CL5	72
396	CL5	417
397	CL5	490b
398	CL5	153
399	CL5	432
400	CL5	178s
401	CL5	213s
402	CL5	91
403	CL5	150
404	CL5	161
405	CL5	358
406	C	CS
407	CL5	262
408	CL5	62
409	CL5	081d
410	CL5	64
411	CL5	359
412	CL5	186
413	CL5	039s
414	CL5	454
415	CL5	101s
416	CL5	469
417	CL5	414
418	CL5	284
419	CL5	151
420	CL5	341s
421	CL5	184
422	CL5	88
423	CL5	281
424	CL5	155
425	CL5	109
426	CL5	039s
427	CL5	192
428	CL5	278
429	CL5	162
430	CL5	133
431	CL5	286
432	CL5	58
433	CL5	368
434	CL5	299
435	CL5	025s
436	CL5	328
437	CL5	49
438	CL5	438
439	CL5	415
440	CL5	400
441	CL5	507
442	CL5	093s
443	C	CS
444	L	LS
445	CL5	303
446	CL5	29
447	CL5	331
448	CL5	69
449	CL5	50
450	CL5	402
451	CL5	218
452	CL5	95
453	CL5	496s
454	CL5	235
455	CL5	300
456	CL5	228s
457	CL5	64
458	CL5	271
459	CL5	117s
460	CL5	119s
461	CL5	182
462	L	LS
463	CL5	62
464	CL5	222
465	CL5	179s
466	CL5	429
467	CL5	460s
468	CL5	64
469	CL5	12
470	CL5	284
471	CL5	294
472	CL5	421
473	CL5	152
474	CL5	21
475	CL5	344
476	CL5	281
477	CL5	180
478	CL5	181
479	CL5	251
480	CL5	160
481	CL5	46
482	CL5	431b
483	CL5	343s
484	CL5	76
485	CL5	473s
486	CL5	301
487	CL5	220
488	CL5	385
489	CL5	71
490	L	LS
491	CL5	250
492	C	CS
493	CL5	209
494	CL5	367s
495	CL5	105
496	CL5	48
497	CL5	330
498	CL5	149
499	CL5	149
500	L	LS
501	CL5	287
502	L	LS
503	CL5	274
504	CL5	043s
505	CL5	297
506	CL5	460s
507	CL5	135
508	CL5	174
509	CL5	436
510	CL5	149
511	CL5	380
512	CL5	59
513	CL5	305b
514	CL5	197
515	CL5	205
516	CL5	286
517	C	CS
518	CL5	150
519	CL5	201
520	CL5	495s
521	CL5	50
522	CL5	068s
523	CL5	479s
524	CL5	411
525	CL5	11
526	CL5	451
527	CL5	402
528	CL5	120
529	CL5	301
530	CL5	075s
531	CL5	295
532	CL5	118
533	CL5	149
534	CL5	354
535	CL5	277
