Date	Time	Sp	Ind	Infl_pos	Cor_Width	Cor_Throat	Cor_Base	Cor_Len	Cor_Th_Len	Cor_Len_Var	Sepal_Len	Min_Fil_Len	Max_Fil_Len	Pistil_Len	Ovary_Height	Stigma_Height	OV/P_Ratio	SH/P_Ratio	MiF-P_dis	MaF-P_dis	MiF-P_dis/L	MaF-P_dis/L	PL/L_ratio	PL/LV_ratio	L/W_Ratio	LV/W_Ratio	L/LV_Ratio	B/W_Ratio	TW/W_Ratio	B/TW_Ratio	TL/L_Ratio	TL/LV_Ratio	TL/TW_Ratio
11/28/17	9:55:00	F5	35	1	20.94	6.49	2.33	22.22	13.78	26.11	10.69	14.38	16.61	15.37	1.66	1.09	0.108	0.071	-0.99	1.24	-0.045	0.056	0.692	0.589	1.061	1.247	0.851	0.111	0.310	0.359	0.620	0.528	2.123
11/24/17	10:51:00	F5	35	1	22.34	6.45	2.59	24.76	13.28	27.07	11.48	14.08	17.36	16.26	1.67	1.09	0.103	0.067	-2.18	1.1	-0.088	0.044	0.657	0.601	1.108	1.212	0.915	0.116	0.289	0.402	0.536	0.491	2.059
3/15/18	11:06:00	F5	39	1	22.68	6.15	2.21	21.23	15.02	26.08	11.1	13.9	16.64	15.52	1.49	0.99	0.096	0.064	-1.62	1.12	-0.076	0.053	0.731	0.595	0.936	1.150	0.814	0.097	0.271	0.359	0.707	0.576	2.442
3/30/18	9:37:00	F5	39	1	25.23	6.58	2.36	24.93	15.6	29.68	11.39	14.89	18.84	16.67	1.62	0.93	0.097	0.056	-1.78	2.17	-0.071	0.087	0.669	0.562	0.988	1.176	0.840	0.094	0.261	0.359	0.626	0.526	2.371
2/14/18	9:45:00	F5	39	2	24.85	6.8	2.39	23.32	15.29	28.7	11.1	14.31	17.35	15.45	1.68	0.96	0.109	0.062	-1.14	1.9	-0.049	0.081	0.663	0.538	0.938	1.155	0.813	0.096	0.274	0.351	0.656	0.533	2.249
1/14/18	11:26:00	F5	42	1	22.12	6.87	2.59	22.05	16.37	26.39	11.13	14.98	17.91	17.44	1.41	0.98	0.081	0.056	-2.46	0.47	-0.112	0.021	0.791	0.661	0.997	1.193	0.836	0.117	0.311	0.377	0.742	0.620	2.383
11/14/17	10:41:00	F5	42	1	24.61	7.35	2.55	25.8	15.43	30.65	12.49	18.11	20.26	19.81	1.69	1.09	0.085	0.055	-1.7	0.45	-0.066	0.017	0.768	0.646	1.048	1.245	0.842	0.104	0.299	0.347	0.598	0.503	2.099
4/20/18	10:10:00	F5	42	1	28.27	6.56	2.9	23.47	14.68	28.8	12.28	16.28	18.31	17.34	1.39	0.97	0.080	0.056	-1.06	0.97	-0.045	0.041	0.739	0.602	0.830	1.019	0.815	0.103	0.232	0.442	0.625	0.510	2.238
1/14/18	11:29:00	F5	43	1	23.76	7.3	2.58	23.33	17.61	28.68	11.02	13.77	16.4	15.02	1.62	1.02	0.108	0.068	-1.25	1.38	-0.054	0.059	0.644	0.524	0.982	1.207	0.813	0.109	0.307	0.353	0.755	0.614	2.412
10/30/17	9:36:00	F5	43	1	19.57	7.16	3.22	24.82	17.32	27.51	9.7	15.16	18.42	15.88	1.67	1.08	0.105	0.068	-0.72	2.54	-0.029	0.102	0.640	0.577	1.268	1.406	0.902	0.165	0.366	0.450	0.698	0.630	2.419
