Date	Number	Time	Sp	Ind	Infl_pos	Cor_Len_Var	Nectar_UNC	Nectar_CON	Sugar_UND	Sugar_D+2.5	Sugar (UNDc; mg/mL)	"Sugar (D_2.5_c), mg/mL"	"Sugar (D, c, mg/mL)"	SugConAvg(mg/ml)	TotalSugAmt	Time Removed
2/13/18	14	9:57:00 AM	C	241	1	29.38	44.24	2.765	33.9	17.8	388.927064	189.858936	361.5216268	375.2243454	1037.495315	9:47-9:50
3/6/18	9	10:54:00 AM	C	241	1	27.7	53.45	3.340625	33.5	19.4	383.6522	208.426424	364.4050388	374.0286194	1249.489357	10:15-10:19
3/10/18	4	9:32:00 AM	C	241	1	31.78	49.45	3.090625	35.6	21	411.532304	227.2622	411.094111	411.3132075	1271.214882	9:14-9:18
3/17/18	35	11:24:00 AM	F5	247	1	28.6	26.09	1.630625	26.2	10.5	290.331336	108.5492	274.9718907	282.6516133	460.8987869	10:37-10:40
3/25/18	28	11:12:00 AM	F5	247	1	27.12	16.32	1.02	25.5	8	281.6762	81.9872	282.9362196	282.3062098	287.952334	10:53-10:56
4/5/18	28	10:57:00 AM	F5	247	1	28.02	14.73	0.920625	23.2	6	253.599456	61.2092	227.4256291	240.5125425	221.4218594	10:40-10:43
1/13/18	27	10:55:00 AM	F5	252	1	24.77	41.75	2.609375	29.5	14.9	331.8258	156.889184	307.2021747	319.5139873	833.7318106	10:40-10:44
1/16/18	20	10:22:00 AM	F5	252	2	24.14	23.5	1.46875	28.3	10.6	316.604856	109.625304	296.2215661	306.4132111	450.0444038	9:55-9:59
1/23/18	15	10:03:00 AM	F5	252	1	24.63	22.05	1.378125	28.3	10.1	316.604856	104.255264	293.3804595	304.9926577	420.3180064	9:50-9:52
3/29/18	36	11:31:00 AM	F5	255	1	26.23	33.21	2.075625	31.8	14.9	361.421096	156.889184	345.8553797	353.6382379	734.0203675	10:41-10:45
3/25/18	30	11:18:00 AM	F5	255	1	24.84	27.7	1.73125	28.8	11.2	322.928576	116.103936	283.7630494	303.3458127	525.1674382	10:53-10:56
3/17/18	34	11:20:00 AM	F5	255	1	25.33	23.26	1.45375	26	9.3	287.8532	95.717696	260.3225043	274.0878521	398.455215	10:37-10:40
1/13/18	35	11:19:00 AM	F5	260	2	27.63	10.24	0.64	31.5	16.5	357.5294	174.9704	858.448525	607.9889625	389.112936	10:40-10:44
1/16/18	14	10:03:00 AM	F5	260	1	24.47	28.72	1.795	29.5	12.6	331.8258	131.367464	314.3305058	323.0781529	579.9252845	9:55-9:59
2/3/18	9	9:40:00 AM	F5	260	4	22.64	6.32	0.395	28.5	3.5	319.1312	35.8262	262.5743013	290.8527506	114.8868365	9:05-9:07
2/6/18	20	10:32:00 AM	F5	263	2	26.5	35.51	2.219375	32.1	15.4	365.322224	162.510744	345.5698755	355.4460498	788.8680768	9:56-10:01
12/18/17	22	10:52:00 AM	F5	263	1	27.59	40.78	2.54875	31.5	15.1	357.5294	159.134664	315.2255556	336.3774778	857.3420965	10:10-10:15
2/3/18	11	9:47:00 AM	F5	263	1	25.7	25.41	1.588125	33	13.3	377.0822	139.076256	358.0077885	367.5449942	583.7073939	9:05-9:07
4/5/18	34	11:17:00 AM	F5	264	1	27.14	38.13	2.383125	32.5	15.8	370.5384	167.026856	342.2451681	356.391784	849.3261702	10:40-10:43
4/11/18	3	9:27:00 AM	F5	264	1	25.66	18.18	1.13625	33.2	10.6	379.707056	109.625304	350.8250928	365.2660744	415.033577	9:12-9:15
