Line,CorollaWidth,CorollaThroat,CorollaLength,OverallCorollaLength,SepalLength,LongestStamenLength,PistilLength,SeedMass,SeedLength,SeedWidth,NectarVolume,SugarConcentration,NectarySize,sqrtNectarVol,lnNectarySize
291,24.28666667,6.9,22.11333333,27.18,11.29666667,17.05333333,15.44333333,0.029,4.17,3.87,2.010208333,355.8123477,0.139498433,1.402820901,-1.993931444
292,23.64166667,6.83,25.95666667,30.38,11.50666667,17.58166667,15.00166667,0.034,4.615,4.045,1.861770834,360.1313885,0.116622413,1.354815827,-2.185120145
293,22.79333334,6.68,23.11,27.50166667,12.01666667,16.70166667,15.98666667,0.0235,4.64,3.915,1.848958334,311.3355553,0.10237298,1.338764383,-2.307674955
294,23.35,6.558333333,24.05166667,27.95333333,10.79333334,16.78166667,13.76166667,0.03,4.21,3.94,1.506666667,321.0732517,0.102796924,1.209926456,-2.359847137
295,22.285,7.203333333,23.35166667,27.59166667,10.56,16.21833334,13.88666667,0.0295,4.52,4.325,1.826354167,315.4488578,0.118617823,1.318710704,-2.174349322
297,17.81,5.415,21.04,24.045,9.746666667,14.16833334,13.28666667,0.024,4.06,3.755,1.119375,309.3603738,0.044070554,1.035836102,-3.154619722
299,20.89333334,6.136666667,21.77,25.31,11.20333334,14.41666667,12.635,0.03,4.16,4.215,1.082395834,254.30895,0.082338882,0.990929696,-2.516099156
30,22.4625,6.89,24.5775,28.53333334,10.78083334,17.02333334,15.12,0.026,4.215,4.03,2.387395834,311.5389333,0.106410721,1.521136167,-2.272956048
300,20.095,6.106666667,20.725,24.80666667,10.73666667,14.57666667,11.96333333,0.0275,4.54,3.82,1.51375,287.5509126,0.092740376,1.216362629,-2.440989915
301,23.01833334,6.653333334,23.58666667,27.41,11.55166667,15.44333334,13.27166667,0.0255,4.305,3.67,1.181979167,324.8916363,0.133552812,1.040419651,-2.019603174
302b,19.29833334,6.251666667,20.98,24.58,9.929999999,14.29333333,10.84166667,0.028,3.92,3.48,1.4165625,315.8331595,0.063364147,1.173236335,-2.7788093
303,21.96833333,6.545,20.89833334,25.45,11.49833334,14.865,13.47666667,0.029,4.59,3.9,1.275,283.1328766,0.114444594,1.054034243,-2.246544374
305b,18.93833334,6.181666667,20.295,23.54,10.02333334,13.32,11.66333334,0.026,4.245,4.07,1.607916667,323.650391,0.102052877,1.263268782,-2.321919805
306,22.215,6.796666667,22.78833334,26.10666667,10.69833334,15.91666667,11.71333334,0.0325,4.515,4.14,1.519166667,291.2226726,0.075762499,1.211243252,-2.607151975
327,22.29,6.403333334,23.04333334,27.51833334,11.51833333,16.46166667,16.79,0.026,4.21,3.9,2.034791667,301.7144608,0.095619428,1.386737015,-2.380444997
328,20.51,6.368333334,22.95333333,26.60666667,10.855,16.26833333,12.48166667,0.025,4.235,3.97,1.516458334,238.2392953,0.090724405,1.221946288,-2.420179877
329,21.22333333,6.735,23.04,26.79666667,10.98666667,16.27666667,15.27333333,0.021,4.445,3.77,1.738229167,329.4846634,0.09472346,1.279393446,-2.448967721
33,23.55,6.921666667,23.74,27.93333333,11.30333333,16.64166667,15.86666667,0.0215,4.055,3.58,2.199375,331.0464588,0.122858745,1.466878787,-2.115919194
330,22.44666667,6.983333334,22.23333334,27.09,10.635,16.66166667,13.53833334,0.029,4.18,3.95,1.6971875,288.5719345,0.092769632,1.279328034,-2.403332222
331,21.39333334,6.208333334,21.73333334,25.87666667,12.095,16.54,16.01333334,0.0275,4.545,4,2.008125,342.2082215,0.106819415,1.395806122,-2.266118062
332,21.85666667,6.375,25.78833334,29.87166667,10.83,18.28,15.11166667,0.03,4.225,4.455,1.521458334,285.682266,0.099438744,1.194028632,-2.343119767
333,19.77,5.856666667,21.85833334,25.225,10.06166667,16.07333334,12.04333333,0.026,3.805,3.695,1.769791667,327.7392004,0.093724795,1.314091269,-2.373588169
335,21.29166667,6.355,22.44833334,26.495,10.995,15.96833334,14.77,0.028,3.945,3.555,1.4171875,284.1682554,0.084589069,1.151184565,-2.567140588
336,20.115,7.001666667,21.66333334,25.49,9.726666669,15.835,13.63666667,0.027,4.68,3.86,0.910833333,266.2952578,0.074895391,0.933805588,-2.644724634
337,20.69666667,6.046666667,21.35833334,24.78333334,11.55833334,15.69,12.38,0.0275,4.595,4.33,0.767395834,291.3654991,0.054188143,0.778246852,-2.967763229
338b,19.72,5.853333334,21.99,25.245,11.18166667,15.03166667,13.35833334,0.0215,4.335,3.38,1.265833333,295.0756625,0.08864775,1.113636623,-2.439430982
340b,20.97166667,6.261666667,20.63,24.52666667,11.02833333,15.4,14.39,0.016,3.905,3.45,0.9765625,295.5757935,0.083534987,0.968673211,-2.526848752
341s,21.57666667,6.4,23.37,27.92166667,10.84333334,15.74166667,14.75666667,0.0245,4.515,4.005,1.1221875,289.7797448,0.093279357,1.041837955,-2.411261844
343s,21.95166667,6.71,23.12166667,27.04166667,10.61166667,16.70333334,13.35833333,0.0265,4.345,4.135,1.469791667,343.8279993,0.104269906,1.200612865,-2.371906709
344,23.47166667,7.23,25.205,28.58166667,11.395,18.76,16.47333334,0.032,4.98,4.265,2.4121875,350.7698091,0.147870021,1.549789004,-1.920401668
351,20.74166667,6.286666667,22.13666667,25.34666667,11.265,16.12,14.44833334,0.026,4.635,4.075,1.146875,310.444105,0.074556487,1.042880814,-2.618497438
353,24.66166667,6.566666667,23.43333334,28.10833333,10.94166667,17.295,15.83166667,0.028,4.52,4.015,1.313333333,323.675708,0.090193173,1.130666611,-2.491497505
354,23.93833334,6.52,23.83333333,28.875,11.7,16.75833334,15.00333334,0.034,4.705,4.225,2.385833334,336.7240875,0.146907164,1.519393561,-1.945299418
355,22.705,6.51,20.31833334,25.31833334,12.55166667,15.005,12.93666667,0.0325,4.095,4.25,2.552604167,316.0180567,0.09408227,1.583494771,-2.455231128
357s,22.37166667,7.065,24.38833334,27.79833333,12.14666667,16.73666667,13.27,0.0275,4.525,4.705,1.838854167,329.643446,0.087068777,1.324193498,-2.46884048
358,22.27833333,6.278333333,24.82833333,28.76166667,10.78,16.28,12.905,0.033,4.74,4.365,1.100520834,337.7152255,0.088181506,1.035180045,-2.452593711
359,22.49,6.68,25.03666667,29.16833334,10.36833333,17.18166667,12.42833334,0.0305,4.71,4.635,0.98125,312.0355545,0.095073865,0.941975928,-2.363362467
36,20.04,5.91,21.59,25.345,11.05666667,15.17,12.365,0.035,4.74,4.475,1.008333333,220.3608254,0.081227678,0.838733404,-2.545127856
361,20.70333334,6.745,20.81833334,25.66833333,10.43333334,14.89,14.2,0.0225,4.175,3.94,1.718541667,310.4795616,0.092899605,1.295605943,-2.430054913
362s,23.9,6.826666667,23.71,28.05,11.13333333,16.61333334,15.34333334,0.0265,4.41,4.01,2.055104167,312.7525025,0.101694234,1.430836953,-2.300941587
363,24.09166667,6.771666667,22.38666667,27.53333333,10.505,17.06666667,14.655,0.0255,4.435,4.115,1.476875,321.1353511,0.100894968,1.175551324,-2.327012074
364s,21.50166667,6.2,23.20166667,26.94166667,10.455,16.25833333,14.015,0.0315,4.985,4.355,1.6846875,344.8572558,0.085688952,1.285317052,-2.553679601
365,19.615,5.503333334,21.39166667,24.62333334,10.87666667,15.09,12.78666667,0.0255,4.1,4.065,1.173125,339.4182391,0.081906987,1.019451091,-2.561669875
366,21.37166667,7.35,24.37666667,27.33,11.47166667,15.48333334,12.575,0.032,4.625,4.275,2.691041667,336.5171942,0.140003421,1.630259971,-1.975119028
367s,26.015,7.843333334,27.22,32.48666667,12.89833333,18.65666667,16.04333334,0.025,4.48,4.01,2.209270834,335.6540915,0.168455002,1.477113015,-1.824882006
368,20.45666667,6.22,21.89666667,26.02166667,10.98333334,15.60833334,13.05166667,0.028,4.61,4.025,1.735,311.0557217,0.09922673,1.308057558,-2.387913966
369s,20.99,6.206666667,21.44666667,24.96833333,9.930000002,15.18,13.49833334,0.0275,4.255,4.005,1.212604167,331.8212665,0.090969646,1.079790134,-2.504135386
371,22.055,6.561666667,21.74166667,26.00666667,11.54833333,17.11666667,14.74833333,0.0235,4.28,3.915,2.315729167,361.2856279,0.099036243,1.501213198,-2.330942519
372b,21.43333333,6.846666667,21.11,24.93666667,11.02666667,14.14333333,13.02333333,0.028,4.14,3.76,0.651458333,282.0886306,0.102808163,0.789621808,-2.331865079
373,22.74166667,6.816666667,22.37666667,26.93333334,10.73333334,16.835,12.72166667,0.0225,4.33,3.87,2.200104167,314.6042197,0.151041466,1.476651731,-1.917703928
375,19.31666667,6.041666667,21.63666667,23.735,10.045,14.78333334,15.03666667,0.024,4.74,4.13,2.050520833,315.6533237,0.104900094,1.416543673,-2.258322557
379,23.03666667,6.598333333,20.30166667,25.28833334,11.51666667,15.36,12.48,0.03,4.645,4.295,1.53875,302.1459687,0.1193518,1.235383035,-2.174866937
38,21.27166667,6.77,23.53833334,26.84333333,10.89,17.455,14.87666667,0.031,4.67,4.075,2.4434375,349.81831,0.161209776,1.544173489,-1.841244617
380,21.08,5.821666667,20.93333333,25.23833333,10.93333334,15.23,12.635,0.0245,4.06,3.91,1.133958334,290.9520154,0.080476037,0.997918205,-2.539397579
381,21.49,6.108333334,22.475,26.41166667,10.56666667,15.57333334,12.64166667,0.025,4.17,4.07,1.039270834,309.7412192,0.060134782,0.971417239,-2.885290629
382s,20.36666667,6.013333333,20.55666667,23.53333333,8.996666667,11.19,13.98,0.026,4.26,3.88,0.107708333,257.8043582,0.059405528,0.323883906,-2.831316362
